,강의아이디,유저아이디,강의만족도,학습량,난이도,강의력,성취감,강의평
63,7,jeeeee,5,3,3,3,3,"클루평 안좋아서 잡았을 때 걱정 많이 했는데 생각보다 괜찮았고 성적도 에쁠 주셔서 만족해요

다른 아잉과 달리 토론으로 시간 떼우고 그렇지 않고 교수님 강의 중심으로 진행되어서 기가 덜빨려서 좋았어요 (팀플 하긴함)

다만, 성적 반영되는 퀴즈가 중간에 있고 시험도 치는데 피피티를 잘 이해해야 합니다 외우는것보다 이해하는게 훨씬 중요해요
그리고 가장 중요한것.. 겹강인 사람 없이 절대 혼자 듣지마세요 팀 짤 때 고생합니다"
64,7,종강휴학,4,4,4,4,4,그냥 기본적인 아잉 수업이라고 생각하시면 됩니다. Death 교수가 조금 악평이 있고 어느 정도 중간 시험을 보거나 기말에 파이널 인터뷰를 진행하는 등 약간의 이름값을 한다는 느낌은 있지만 그렇게까지 1순위로 기피해야 할 교수 느낌은 아니니 평온한 수강신청을 원한다면 노리는 것도 나쁘지 않습니다.
65,7,sxnbm,3,3,3,3,3,그냥 보통의 아잉 수업 같습니다. 중간고사+인터뷰+팀플?+과제+출석으로 성적을 주십니다. 1학점에 비해 시키는게 많다고 느낄 수 있지만 쉬워서 괜찮습니다.
66,7,한여름,2,3,2,4,4,"교수님 명성에 비해 수업이 너무 좋아요. 디아스 교수님 저는 정말 추천해요. 교수님 너무 친절하세요.
과제가 많긴해도, 참여에 의의를 두시는 분이라 부담이 없답니다!"
67,7,kyh7777,4,3,3,3,3,"아잉치고는 할게 좀 있지만, 1학점이기에 그냥 그렇습니다. 강의에서는 문법, 단어, 문장 등 여러가지를 배우고 경영전략이나 경영책임자 선정과 같은 주제로 여러 토론도 함께 진행합니다. 학점은 그럭저럭 보통인 편입니다."
68,7,Eulkklue,5,4,3,4,4,"수업 내용은 전반적으로 경영학과 관련된 여러 내용들을 그룹 별 토론 형식과 강의식 수업 형식을 모두 활용하여 전달하십니다. 1학점인 교양 치고는 많은 내용을 다룬다고  느껴질 때도 있었으나, 기본적으로 난이도가 그렇게 높지 않고 과제는 거의 없기 때문에 할만하다고 생각합니다. 학생들의 의견을 최대한 존중하고 반영하려고 하시며, 수업 자료는 기본적으로 전부 블랙보드에 올려주시기 때문에 하루 정도 못 가도 수업을 따라가는 것에는 지장이 없습니다. 중간 시험은 문법적인 부분, 개념적인 부분 등 여러 부분을 다루나 내용의 깊이가 깊지 않기 때문에 평소 수업만 열심히 들으셨다면 금방 복습할 수 있을 정도입니다. 기말 시험은 짤막한 에세이 예문을 읽고 근거와 함께 해당 에세이의 종류를 적는 것과 본인이 적은 에세이에 관한 10분 내의 인터뷰로 진행됩니다. 사실 에세이를 완전히 적어내지는 않고 교수님이 주시는 기본적인 내용 틀에만 맞추어 적어오면 됩니다. 학점은 꽤 잘 주시는 편인 것 같고, 별 기대 없이 들었는데 생각보다 꽤 괜찮았던 강의였습니다."
69,7,로스쿨제발가게해주세요,4,4,4,4,3,"제가 영어실력이 좋지 않아서 퀴즈도 굉장히 못봤고, 마지막 인터뷰 시간에도 몇마디 못하고 나왔는데 학점을 생각보다 잘 주셔서 감사했습니다. 일단 다른 교수님보다 하는 양은 많지만 중학교때 영어 원어민 수업 느낌으로 배울 수 있는게 많았네요!"
70,7,aaabcdge,3,4,4,3,3,"일단 1학점치고 시키는 과제나 시험의 양이 다른 아잉 수업에 비하면 많은 편입니다. 그렇다고 해서 시험이나 퀴즈의 난이도가 막 엄청 쉬운 것도 아니어서 점수 얻기 힘들었던 것 같아요. 교수님은 친절하시고 수업하는 동안은 무난했습니다. 하지만 굳이 1학점인 아잉을 이렇게나 많은 과제를 하면서 할 필요가 있을까 싶기도 합니다. 이 아잉에서 점수를 잘 받기 위해서는 일단 중간고사, 퀴즈, 기말고사에서 거의 틀린 문제가 없어야 할 것 같습니다. 그래도 교수님은 친절하십니다."
71,8,구찮이즈미,5,2,3,2,3,"소문보다는 좋아요.
할 것도 많이 없구요.
다만 성취감이나 학습 효과는 잘 모르겠습니다.
커리큘럼이 나쁘진 않은것 같은데, 뭔가 뭔가 뭔가예요"
72,8,허잇짜,3,4,4,3,3,"되도록이면 피하세요...원래 하고 싶었던 교수님을 못 잡아서 듣게 되었는데, 꽤나 힘들었습니다.. 출석을 매번 부르시고, 거의 매번 팀활동으로 토론하는 시간이 있었습니다. 

시험도 두 번 보고, 퀴즈와 간단한 인터뷰도 봤습니다. 중간시험은 문제 예시를 주시고, 대략 스스로 답을 찾고 정리한 뒤 보면 돼서 그나마 괜찮았습니다.. 그러나 기말 시험은 영어로 논리적 오류를 분석하고, 그 이유를 적어야 했는데, 공부를 해도 까다롭게 나와서 저에게는 좀 어려웠습니다.. 인터뷰의 경우에는 지금까지 배웠던 내용들에 관해서 교수님께서 질문하시거나 선택적으로 에세이를 써가면 에세이에 관한 질문을 하십니다. 제가 생각했을 때, 인터뷰에서는 거의 점수가 깎이지 않는 것 같습니다. 시험이 많이 중요합니다..

결론적으로 아잉 치고 해야 할 것도 너무 많고, 점수도 그렇게 잘 주시진 않는듯합니다."
73,8,내일사장,4,3,3,3,3,기말 시험 안갔는데 비쁠 받았습니다. 다들 디아스 교수님 많이 시킨다고 안좋다고 하는데 학점 진짜 잘 주셔요.
74,8,수강신청안하고싶다,4,3,3,3,4,"뭐 다방면으로 여러가지를 배웁니다. 논리적인 철학, 주장하는 에세이 글 등을 영어로 배우다보니 조금 어려운 부분이 있지만 시험에는 그다지 어렵게 나오지는 않습니다. 조별과제가 대략 3번 정도 있고 수업 시간에 조별로 이야기하는 것을 많이 시키십니다. 학점은 그냥 A로 만족하시면 듣기 좋은 듯 합니다. 다른 교수님들의 아잉이 더 편하긴 하지만 이냥 저냥 대충 듣고 싶으시다면 디아스 교수님도 나쁘지 않습니다."
75,8,아보카도좋아,4,3,3,3,3,"1학기 2학기 모두 디아스 들은 사람입니다.. 에제를 정말 많이 주십니다 
수업 와서 대놓고 ㅠ맨날 핸드폰만 하던 제 동기도 똑같이 에제 받았어서 어이없엇움 ㅋㅋㅋ
근데? 그만큼 수업 태도는 신경 안씀 다른 교수님들은 잠깐 폰 보거나 집중 안하면 점수깎는다던데 
디아스 교수님은 수업에 온 모두가 다같이 아이패드랑 핸드폰하는데 뭐라 안하심
에제도 상관없으면 ㄹㅇ 꿀강인데 에이쁠이어야 하는 분은 비추
(1학기 때 에이쁠 안주셔서ㅡ 울뻔했는ㄷㅔ 2학기때 겨우 받았어요 ..ㅠㅠ)
수업방식이나 진행은 ㄹㅇ 숨겨진 꿀강인데 다들 잘 모르더라고요
과제 거의 없고 갑작스러운 발표 안시킴(정정 전 첫수업 때 자기소개 시키긴하는데 점수반영 아닐 것임)
팀플 한 번 잇는데 어려운 거 아니라서 할만함
과제 해갈 거 없는 게 ㄹㅇ 꿀임"
76,8,티비티비,3,3,3,2,3,"he was the best man ive ever met his lecture skill is amazing i loved it 
he give very good grade also"
77,8,정다원,4,2,4,3,3,그냥 수업참여 잘하면 과제점수는 잘받을 수 있는데 시험이 좀 어렵긴 합니다. 근데 시험만 잘보면 출석도 지각처리 없이 해주시고 좋습니다. 스피치도 있긴한데 그건 쉬워서 무난합니다. 에이까진 무난하지만 에플은 어렵습니다
78,8,도비도비,4,3,2,2,2,친구들 사이에선 기적의 학점 폭격기라고 불리는데 쁠은 어렵지만 에제는 쉬운 기가 막힌 교수님이다.
79,9,옥저,4,4,4,1,1,"일단 명강은 아닙니다.. 다만 에제를 씨뿌리듯이 뿌려주시는 것 같아서 나름은 만족합니다..

시험은 중간고사 한 번 이루어졌고, 기말고사는 인터뷰로 대체했습니다!

중간고사는 수능 때 했던 부분(알맞은 접사 넣기, thesis 문장 찾기) 이 나오며, 기말고사 인터뷰는 여태까지 했던 활동들을 중심으로 영어로 물어보시고, 이에 대한 답변을 영어로 해주심 됩니다!

강의 전달력은 영국식 발음이라 많이 떨어지며, 그렇지만 나름 배우는 건 많다고 생각합니다..ㅎㅎ"
80,9,꿀강찾아학점받자,3,4,5,2,2,"강의가 너무 어렵습니다. 영어를 잘 못하시면 다른 분 듣는 것을 추천합니다. 그냥 순수하게 내용이 어려운 것이니, 영어를 잘 한다면 오히려 좋으실 수도 있습니다. 
강의력은 별로고, 학점은 나름 잘 주시는 것 같습니다. 기대 이상입니다."
81,9,hanihani,4,2,2,3,2,"학점은 잘은 못받았는데 그건 그냥 제가 틀린게 많아서 그렇고요
영어 실력에 대해 얻어가는게 있고싶다면 강추는 아님
자잘한 팀플이 조금 있고 과제도 있음
기말은 인터뷰!
교수님은 뭐...친절하시긴 해요 막 별로는 아님"
82,9,Uni_Klue,3,5,4,4,4,"다른 아잉교수님들처럼 출석은 매일 부르시며 다른 아잉 교수님들의 시그니쳐 과제들을 모두 다루는 수업을 하시는데, 그중에 제일 많은 수업 시간을 사용하는 것은 토론수업이다. 토론수업은 실제로 다른 그룹과 함께 토론하거나 한 그룹 내에서 주어진 내용을 가지고 토론을 하는데, 실질적으로 성적 반영이 되지 않는다.
그래도 강의 내용을 통해 얻어갈 점은 있으며 토론수업을 통해 여러 사람과 친분을 만들 수는 있다. A+은 잘 안 주시지만, A0는 최대한 주시는 교수님이므로 참고바란다."
83,9,킫오,1,5,3,2,1,이게 1학점짜리라고? 할 정도로 할 게 많은데 그에 비해 학점은 짠 교수님. 교수님이 많은 걸 알려주려고 노력하시지만 발음이 뭉개져서 알아듣기 힘들었습니다. 아잉1도 이 교수님으로 들었는데 1학기에 비해 조별 활동이 많았습니다. 중간과 기말고사 위주로 성적이 매겨지며 하는 활동들이 성적에 들어가지 않아 조원들의 태도가 소극적이라는 어려움이 있었습니다.
84,9,VI3MUT,2,3,4,2,2,수업 내용을 자료로 들여다 보았을 때 그렇게까지 어려울 내용은 아니지만 수업 시간에 듣고 자료와 함께 파악해야할 때 급속도로 어려워진다. 내용을 알아듣기가 힘들어지기 때문이다. 중간고사는 테마를 알려주고 시험을 본다. 그리고 기말을 보기 전에 시험을 오픈북으로 보는데 이 시험이 헬이다. 내가 맞게 쓴 것 같아도 틀리게 된다. 기말고사는 에세이를 쓰고 그것으로 교수님과 일대일 인터뷰를 하게 된다. 개인적으로 선택할 수 있는 교수님 중에 가장 최후의 선택지가 맞지 않을까 싶다.
85,10,smin17,1,1,1,1,1,"시키는 건 더럽게 많은데
평가 체계나 공지 체계는 더러워요
호킨스 교수님을 굳이 들어야할 이유을 못 찾겠습니다."
86,10,kjhjn,4,5,1,1,1,걱정했던것 만큼 악질은 아니었지만 가능하다면 다른 교수님 수업을 듣는게 낫다고 생각합니다. 이번에 중간고사 대체로 에세이를 작성했는데 진도를 굉장히 느리게 빼시더니 종강하고나서까지도 에세이를 붙잡고 있었습니다. 굉장히 게으른 교수님인것 같습니다. 학점을 빡빡하게 주시는 편은 아니지만 다른 아잉 수업에 비해 학습량이 많은 점을 고려하여 다른 수업을 추천드립니다.
87,10,뭄뭄숨,2,5,3,2,2,"기분대로 성적 주시는 것 같습니다. 일학기때 에쁠 받아서 2학기때 아잉2 들은 모든 제가 아는 호킨스
수강자들이 에제 나왔습니다. 1학기때는 에쁠 에제를 적당히 줬다면 2학기때는 에제를 뿌리고 에쁠을 거의 안줬습니다 … 과제는 과제대로 잔뜩 하고 자신의 성적을 랜덤가챠에 돌리고 싶지 않다면 피하세요"
88,10,야기,5,3,4,5,5,발표 너무 싫다....... 하지만 해야한다.... 중간 레포트 기말 조별발표인데 큐카드만 허용이고 다 외워가야 합니다. 발표 조진것 치고는 점수 잘 주셨어요. 1학기랑 교수님이 같았는데 수업 내용이 비슷해서 다른 교수님 들을걸 싶긴 했습니다.
89,10,우웅,4,4,2,2,2,"정말 대문자 P 교수님입니다. 
원래는 에세이 작성, 개인 발표, 조별 발표가 커리큘럼에 예정되어 있었으나 시간 부족으로 개인 발표는 진행하지 않았습니다.
같이 듣는 친구들이 있으면 좋은 수업입니다. 교수님이 잘 알려주지 않는 부분을 서로 물어보며 챙기길 바랍니다..
그래도 학점은 잘 주시는 교수님입니다."
90,10,yellowcat,4,3,3,3,3,일단 친절하십니다 출석은 매번 부르시고 자잘자잘한 과제들이 있습니다 시키시는 대로 따라가다 보면 성적은 나름 주시는 것 같습니다 최대한 학생들 편의를 생각해주시는 교수님입니다
91,10,사자와호랑이2,1,5,4,2,3,"공지도 제대로 안 하시고, 평가 체계도 없고 어떤 기준으로 학점을 주시는지 모르겠습니다.  피드백을 주시나 글씨를 날려 쓰셔서 알아보기 힘듭니다. 처음부터 끝까지 평가 기준을 자기가 알아서 찾아보고 작성해야 하기 때문에, 이런 것에 힘드신 분은 추천하지 않습니다.  다른 교수님 추천합니다."
92,10,아인슈페너,3,4,4,2,2,수업은 크게 에세이 + 조별 발표 이렇게 두 가지로 평가를 받게 됩니다. 에세이 관련해서 중간 기간까지 apa 양식 등을 공부하고 기말에는 에세이 쓴 걸 바탕으로 15분 발표를 하게 됩니다. 그러나 공지가 매우 불친절한 경향이 있습니다. 시험 날짜에 대한 공지도 틀리는 경우가 많았으며 교수님 측의 실수로 인해 정해진 시험 날짜를 바꿔야 하는 상황이 생기는 일도 있었기에 추천드리지 않습니다.
93,10,gabcdef,3,4,3,3,3,"하라는 데로 열심히 하면 됩니다. 
하는 만큼 나오는 것 같아요.
근데 시험이나 발표 양식, 내용에 대한 공지가 너무 중구난방이고 시험 일정도 교수님 맘대로 미루셨습니다. 
본인이 꼼꼼하게 체크해야 해요."
